Address,Port,Response Time(ms)
104.19.206.52,8443,156.45
104.19.207.161,2053,156.45
104.19.206.190,2087,156.46
104.19.205.157,2087,156.46
104.19.207.36,2096,156.46
104.19.193.52,2087,156.46
104.19.195.9,2087,156.46
104.19.194.207,2083,156.46
104.19.206.53,2096,156.46
104.19.194.152,8443,156.46
104.19.196.55,443,156.46
104.19.194.45,2083,156.46
104.19.192.74,2096,156.47
104.19.204.143,443,156.47
104.19.200.70,8443,156.47
104.19.204.26,8443,156.47
104.19.194.33,2096,156.47
104.19.192.51,2087,156.48
104.19.199.205,2087,156.48
104.19.192.193,2053,156.48
104.19.194.5,2087,156.48
104.19.202.167,443,156.48
104.19.195.159,2096,156.48
104.19.203.195,2083,156.48
104.19.202.57,2053,156.49
